ROW  COL  TYPE              TOKEN/ERROR MESSAGE
1    1    reserved keyword  PROGRAM           
1    9    reserved keyword  IS                
2    5    reserved keyword  VAR               
2    9    identifier        I                 
2    11   delimiter         :                 
2    13   identifier        INTEGER           
2    21   operator          :=                
2    24   interger          0                 
2    25   delimiter         ;                 
3    5    reserved keyword  PROCEDURE         
3    15   identifier        ADDONE            
3    21   delimiter         (                 
3    22   delimiter         )                 
3    24   reserved keyword  IS                
4    2    reserved keyword  VAR               
4    6    identifier        J                 
4    8    delimiter         :                 
4    10   identifier        INTEGER           
4    18   operator          :=                
4    21   interger          0                 
4    22   delimiter         ;                 
5    2    reserved keyword  PROCEDURE         
5    12   identifier        OKAY              
5    16   delimiter         (                 
5    17   delimiter         )                 
5    19   reserved keyword  IS                
6    6    reserved keyword  VAR               
6    10   identifier        CONSTANT          
6    19   delimiter         :                 
6    21   identifier        INTEGER           
6    29   operator          :=                
6    32   interger          0                 
6    33   delimiter         ;                 
7    2    reserved keyword  BEGIN             
8    6    identifier        CONSTANT          
8    15   operator          :=                
8    18   interger          1                 
8    19   delimiter         ;                 
9    6    identifier        J                 
9    8    operator          :=                
9    11   identifier        J                 
9    13   operator          +                 
9    15   identifier        CONSTANT          
9    23   delimiter         ;                 
10   2    reserved keyword  END               
10   5    delimiter         ;                 
11   5    reserved keyword  BEGIN             
12   2    identifier        J                 
12   4    operator          :=                
12   7    identifier        I                 
12   8    delimiter         ;                 
13   2    identifier        OKAY              
13   6    delimiter         (                 
13   7    delimiter         )                 
13   8    delimiter         ;                 
14   2    identifier        I                 
14   4    operator          :=                
14   7    identifier        J                 
14   8    delimiter         ;                 
15   5    reserved keyword  END               
15   8    delimiter         ;                 
16   1    reserved keyword  BEGIN             
17   5    identifier        I                 
17   7    operator          :=                
17   10   interger          0                 
17   11   delimiter         ;                 
18   5    reserved keyword  WRITE             
18   10   delimiter         (                 
18   11   string            "I = "            
18   17   delimiter         ,                 
18   19   identifier        I                 
18   20   delimiter         ,                 
18   22   string            " (SHOULD BE 0)"  
18   38   delimiter         )                 
18   39   delimiter         ;                 
19   5    identifier        ADDONE            
19   11   delimiter         (                 
19   12   delimiter         )                 
19   13   delimiter         ;                 
20   5    reserved keyword  WRITE             
20   10   delimiter         (                 
20   11   string            "I = "            
20   17   delimiter         ,                 
20   19   identifier        I                 
20   20   delimiter         ,                 
20   22   string            " (SHOULD BE 1)"  
20   38   delimiter         )                 
20   39   delimiter         ;                 
21   5    identifier        ADDONE            
21   11   delimiter         (                 
21   12   delimiter         )                 
21   13   delimiter         ;                 
22   5    reserved keyword  WRITE             
22   10   delimiter         (                 
22   11   string            "I = "            
22   17   delimiter         ,                 
22   19   identifier        I                 
22   20   delimiter         ,                 
22   22   string            " (SHOULD BE 2)"  
22   38   delimiter         )                 
22   39   delimiter         ;                 
23   5    reserved keyword  WRITE             
23   10   delimiter         (                 
23   11   string            "ALL DONE!"       
23   22   delimiter         )                 
23   23   delimiter         ;                 
24   1    reserved keyword  END               
24   4    delimiter         ;                 
The number of tokens are 108
The number of errors are 0
